Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  1.029623e-02   3.083910e+01   2.190170e-01
  1.076556e-02   3.059380e+01   2.313450e-01
  1.123489e-02   3.043450e+01   2.164250e-01
  1.170422e-02   2.972810e+01   1.982520e-01
  1.217356e-02   2.978410e+01   1.858790e-01
  1.264289e-02   2.985780e+01   1.913280e-01
  1.311222e-02   2.947220e+01   1.785570e-01
  1.358155e-02   2.938120e+01   1.753740e-01
  1.405089e-02   2.886100e+01   1.636520e-01
  1.452022e-02   2.897690e+01   1.632860e-01
  1.498955e-02   2.860550e+01   1.565260e-01
  1.545888e-02   2.829000e+01   1.583680e-01
  1.592822e-02   2.798830e+01   1.492580e-01
  1.639755e-02   2.806120e+01   1.402170e-01
  1.686688e-02   2.769010e+01   1.430240e-01
  1.733622e-02   2.763900e+01   1.416200e-01
  1.780555e-02   2.755470e+01   1.344510e-01
  1.827488e-02   2.685970e+01   1.303710e-01
  1.874421e-02   2.630580e+01   1.294600e-01
  1.921355e-02   2.660420e+01   1.301400e-01
  1.968288e-02   2.621860e+01   1.279350e-01
  2.015221e-02   2.613970e+01   1.244300e-01
  2.062154e-02   2.573450e+01   1.169650e-01
  2.109088e-02   2.531150e+01   1.194580e-01
  2.156021e-02   2.512960e+01   1.198390e-01
  2.202954e-02   2.502080e+01   1.142740e-01
  2.249887e-02   2.450480e+01   1.144940e-01
  2.296821e-02   2.416690e+01   1.118980e-01
  2.343754e-02   2.435160e+01   1.126430e-01
  2.390687e-02   2.375460e+01   1.087160e-01
  2.437621e-02   2.323130e+01   1.060560e-01
  2.484554e-02   2.303170e+01   1.063660e-01
  2.531487e-02   2.288520e+01   1.059330e-01
  2.578420e-02   2.253690e+01   1.021540e-01
  2.625354e-02   2.234940e+01   1.007990e-01
  2.672287e-02   2.209270e+01   1.008030e-01
  2.719220e-02   2.184590e+01   1.003840e-01
  2.766153e-02   2.157840e+01   9.818790e-02
  2.813087e-02   2.095290e+01   9.473630e-02
  2.860020e-02   2.092190e+01   9.376670e-02
  2.906953e-02   2.055570e+01   9.671670e-02
  2.953886e-02   2.026020e+01   9.513420e-02
  3.000820e-02   1.997650e+01   9.000570e-02
  3.047753e-02   1.967060e+01   9.106210e-02
