#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   4.60344e+07       565923
        0.01   4.46471e+07       543884
        0.02   4.07275e+07       489601
        0.03   3.49379e+07       426349
        0.04   2.81891e+07       369319
        0.05   2.14185e+07       322705
        0.06    1.5386e+07       289469
        0.07   1.05465e+07       275221
        0.08   7.02355e+06       270228
        0.09   4.67484e+06       256425
         0.1   3.21063e+06       224998
        0.11   2.31594e+06       183106
        0.12   1.73816e+06       144272
        0.13   1.32273e+06       107721
        0.14   1.00251e+06      74781.4
        0.15        761968      52241.4
        0.16        599749      39284.4
        0.17        505740      34318.8
        0.18        456749      34242.8
        0.19        424943      34413.1
         0.2        389227      32186.8
        0.21        341764        27592
        0.22        287016      22279.2
        0.23        235521      18542.3
        0.24        196762      16483.9
        0.25        174724        14446
        0.26        167329      12682.6
        0.27        168764      12295.4
        0.28        172688      12466.6
        0.29        174660      11716.8
         0.3        173050      9600.47
        0.31        168625      7637.26
        0.32        163402      6386.96
        0.33        159389      5761.42
        0.34        157639      5387.76
        0.35        157866      5079.54
        0.36        158679       4847.5
        0.37        158342       4725.6
        0.38        155715      4694.92
        0.39        150942      4688.15
         0.4        145535      4632.72
        0.41        141745      4493.78
        0.42        141536      4287.89
        0.43        146062      3782.39
        0.44        153908      3709.65
        0.45        163155      3529.07
        0.46        171455      3284.63
        0.47        176490      3173.64
        0.48        178052      3092.11
        0.49        175929       3064.1
         0.5        170920      2900.61
        0.51        165173      2986.46
        0.52        159095      2834.93
        0.53        153199      2815.03
        0.54        147716      2750.05
        0.55        143572      2730.11
        0.56        140091      2704.22
        0.57        139116      2609.46
        0.58        140807      2638.31
        0.59        144698      2699.41
         0.6        150124         2768
        0.61        156068      2895.97
        0.62        160858      2969.75
        0.63        163023      2942.43
        0.64        161603      2906.96
        0.65        156822      2781.77
        0.66        149199      2613.77
        0.67        141210       2523.3
        0.68        133175      2422.62
        0.69        126555      2359.28
         0.7        121510      2202.76
        0.71        117128      2111.56
        0.72        112254      2051.81
        0.73        107310      1985.05
        0.74        101897      1862.91
        0.75       96223.4      1810.89
        0.76       90915.7      1721.39
        0.77         86763      1721.02
        0.78       83600.9      1666.71
        0.79       81211.1      1663.09
         0.8       79571.3      1602.43
        0.81       77981.7       1584.4
        0.82       75993.6      1543.31
        0.83       73755.8      1563.15
        0.84       71034.9      1531.54
        0.85       68283.8      1485.68
        0.86       65483.8      1416.25
        0.87       62994.8      1388.51
        0.88         60723      1353.21
        0.89       59268.9      1361.97
         0.9         58375      1402.51
        0.91       58091.6       1401.1
        0.92       58189.5      1424.64
        0.93       58796.2      1433.36
        0.94       59365.3      1463.89
        0.95       60440.9      1467.99
        0.96       61727.2      1439.82
        0.97       62870.2      1436.08
        0.98       63843.2      1398.11
        0.99       64350.1      1372.44
           1       64671.4      1369.91
