#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   6.12675e+06      89179.6
        0.01   6.04015e+06      87455.9
        0.02    5.7876e+06      82805.8
        0.03    5.3903e+06      76494.8
        0.04    4.8804e+06      69851.4
        0.05   4.29702e+06      63724.7
        0.06   3.68148e+06      58473.3
        0.07   3.07263e+06      54306.1
        0.08   2.50292e+06      51156.5
        0.09   1.99575e+06      49129.8
         0.1   1.56443e+06      48111.4
        0.11   1.21254e+06      47413.2
        0.12        935631      46020.3
        0.13        723691      43075.3
        0.14        563906      38654.2
        0.15        443172      33279.3
        0.16        350018      27744.4
        0.17        275727      22764.2
        0.18        214648      18527.3
        0.19        163834      14968.7
         0.2        122266      12289.1
        0.21       89919.9      10602.8
        0.22       66939.4      9541.86
        0.23       53055.8      8509.68
        0.24       47332.4      7735.71
        0.25       48201.4      7174.42
        0.26       53700.5      7020.66
        0.27       61794.9      6867.65
        0.28       70674.5      6388.57
        0.29       78953.2      5651.67
         0.3       85742.1      4848.22
        0.31       90610.6      4127.52
        0.32       93476.7      3567.09
        0.33       94473.6      3178.92
        0.34       93836.2      2927.99
        0.35       91827.2      2760.79
        0.36       88705.8      2629.95
        0.37       84725.1      2504.63
        0.38       80139.6      2370.14
        0.39       75207.9      2223.77
         0.4       70181.3       2070.5
        0.41       65282.9      1919.63
        0.42       60684.5      1781.92
        0.43       56492.3      1666.08
        0.44       52746.2       1574.6
        0.45       49435.5      1500.99
        0.46       46523.4      1430.44
        0.47       43973.4      1342.79
        0.48         41768      1222.15
        0.49       39915.2      1159.33
         0.5       38441.8      1091.51
        0.51       37375.7       1027.9
        0.52       36725.1      975.539
        0.53       36460.3      937.032
        0.54       36504.3      911.571
        0.55       36736.2      896.711
        0.56       37007.8      889.452
        0.57       37168.9      887.061
        0.58       37097.6      887.873
        0.59       36725.4      891.643
         0.6       36112.4      872.742
        0.61       35099.9      859.469
        0.62       34280.5      893.182
        0.63       33102.8      909.409
        0.64       32194.6      857.242
        0.65       31722.7      893.637
        0.66       31449.8       874.01
        0.67       31146.3      853.337
        0.68       31261.1      852.826
        0.69       31212.3      815.706
         0.7       31026.2      782.091
        0.71       30824.8      806.493
        0.72       30623.8      776.956
        0.73       30146.2      728.598
        0.74       29730.6      731.145
        0.75       29216.3      716.035
        0.76       28680.7      699.372
        0.77       28198.3      679.029
        0.78       27793.8      697.943
        0.79       27376.4      665.698
         0.8       26855.4      646.567
        0.81       26207.3      663.616
        0.82       25513.8      657.045
        0.83       24695.1      611.111
        0.84       23866.5      601.651
        0.85       22880.5      590.822
        0.86       21912.1      558.905
        0.87       20932.3      569.628
        0.88       20082.6      536.711
        0.89       19370.8      501.541
         0.9         18847      493.049
        0.91       18332.4      489.051
        0.92       17961.3      472.777
        0.93       17699.5      477.439
        0.94       17459.6      462.251
        0.95       17292.2      467.969
        0.96         17243      470.846
        0.97       17060.2      460.079
        0.98       17035.8      469.048
        0.99       17038.1      464.929
           1       17067.7      452.917
