#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   5.60058e+06      77402.8
        0.01   5.51416e+06      75848.2
        0.02   5.26308e+06      71507.4
        0.03   4.87052e+06      65248.2
        0.04   4.37136e+06      58214.1
        0.05   3.80734e+06        51474
        0.06   3.22155e+06      45672.5
        0.07   2.65317e+06      40636.8
        0.08   2.13335e+06      36462.6
        0.09   1.68281e+06      32848.9
         0.1   1.31121e+06      29520.1
        0.11    1.0183e+06      26153.8
        0.12        796265      22781.8
        0.13        632678      19362.6
        0.14        513482      16333.5
        0.15        425431      14134.1
        0.16        357718      12595.4
        0.17        302698      11599.5
        0.18        255823        10909
        0.19        215022      10199.2
         0.2        179843      9205.57
        0.21        150581      8003.68
        0.22        127613      6930.99
        0.23        110982      6192.21
        0.24        100251      5706.53
        0.25       94542.4      5418.22
        0.26       92682.9      5249.51
        0.27       93382.9      5104.19
        0.28       95389.8      4916.03
        0.29       97600.6      4666.94
         0.3       99133.8      4369.47
        0.31       99367.1      4046.07
        0.32       97952.9      3722.84
        0.33       94812.1      3430.52
        0.34       90107.1      3197.84
        0.35       84194.3      3034.88
        0.36       77556.5      2922.54
        0.37       70724.6      2822.99
        0.38       64201.2      2701.98
        0.39         58395      2543.92
         0.4       53578.4      2352.74
        0.41         49871      2143.02
        0.42       47248.5      1927.52
        0.43       45572.3      1709.28
        0.44       44631.8      1485.08
        0.45       44191.8      1263.05
        0.46       44036.5      1160.75
        0.47       44001.6      1092.44
        0.48       43991.6       1051.8
        0.49       43978.1      1031.51
         0.5       43981.7       1023.9
        0.51       44042.5      1022.24
        0.52       44188.6      1021.79
        0.53       44410.5      1019.96
        0.54         44651      1015.93
        0.55       44812.5      1010.02
        0.56       44780.3      1003.31
        0.57       44414.7      955.079
        0.58       43677.2      934.977
        0.59       42710.9      1015.61
         0.6       41509.9      938.532
        0.61       40071.4       1010.4
        0.62       38831.4      939.601
        0.63       37591.8      905.066
        0.64       36418.4      919.124
        0.65       35536.7      934.662
        0.66       34930.4      800.567
        0.67       34367.8      819.592
        0.68       33780.7      804.485
        0.69       32978.1      795.328
         0.7       32317.4      742.442
        0.71       31343.6      710.955
        0.72       30383.9      670.318
        0.73       29432.4      655.985
        0.74       28681.8      589.767
        0.75       27910.5       603.32
        0.76       27341.1      585.131
        0.77       26811.1      558.622
        0.78       26335.6      553.905
        0.79       25744.9      569.151
         0.8       25062.7      555.588
        0.81       24230.3      552.627
        0.82       23248.9      551.304
        0.83       22260.7      537.707
        0.84         21218      538.307
        0.85       20228.6      528.773
        0.86       19355.4      527.025
        0.87       18646.3      494.632
        0.88       18079.6       493.82
        0.89       17678.3      476.945
         0.9       17304.5      480.595
        0.91       17117.4      484.896
        0.92       16947.8      484.207
        0.93       16800.7      482.327
        0.94       16786.3       470.67
        0.95       16658.9      485.564
        0.96       16624.4      484.838
        0.97       16553.3      466.377
        0.98       16613.5      469.695
        0.99         16621      459.913
           1       16555.8      451.396
