Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 4.532581e-003  0.000000e+000  0.000000e+000
 5.229901e-003  4.465037e-001  2.158385e-002
 5.927221e-003  4.283434e-001  1.029712e-002
 6.624540e-003  4.302342e-001  8.083955e-003
 7.321859e-003  4.212960e-001  6.664313e-003
 8.019178e-003  4.086037e-001  5.998928e-003
 8.716497e-003  4.001897e-001  5.366230e-003
 9.413816e-003  3.894932e-001  4.982309e-003
 1.011113e-002  3.775001e-001  4.723777e-003
 1.080845e-002  3.653839e-001  4.380112e-003
 1.150577e-002  3.567349e-001  4.156938e-003
 1.220309e-002  3.463186e-001  4.068144e-003
 1.290040e-002  3.318818e-001  3.713006e-003
 1.359772e-002  3.197258e-001  3.710004e-003
 1.429504e-002  3.101933e-001  3.479281e-003
 1.499235e-002  2.951304e-001  3.360478e-003
 1.568967e-002  2.852446e-001  3.207255e-003
 1.638698e-002  2.751250e-001  3.233056e-003
 1.708430e-002  2.672836e-001  2.991056e-003
 1.778161e-002  2.548756e-001  2.956406e-003
 1.847893e-002  2.431091e-001  2.775052e-003
 1.917624e-002  2.358488e-001  2.728305e-003
 1.987355e-002  2.240028e-001  2.604682e-003
 2.057086e-002  2.154606e-001  2.635727e-003
 2.126817e-002  2.072143e-001  2.442706e-003
 2.196548e-002  2.016162e-001  2.428200e-003
 2.266279e-002  1.891994e-001  2.411682e-003
 2.336010e-002  1.842798e-001  2.295784e-003
 2.405741e-002  1.779564e-001  2.270514e-003
 2.475472e-002  1.687078e-001  2.158563e-003
 2.545203e-002  1.625656e-001  2.146417e-003
 2.614933e-002  1.588728e-001  2.075673e-003
 2.684664e-002  1.521326e-001  2.097613e-003
 2.754394e-002  1.473559e-001  2.047807e-003
 2.824125e-002  1.418296e-001  2.003905e-003
 2.893855e-002  1.357347e-001  1.955192e-003
 2.963585e-002  1.313361e-001  1.936463e-003
 3.033315e-002  1.305171e-001  1.900590e-003
 3.103045e-002  1.255148e-001  1.867194e-003
 3.172775e-002  1.224596e-001  1.829636e-003
 3.242505e-002  1.191113e-001  1.876446e-003
 3.312235e-002  1.176445e-001  1.849627e-003
 3.381964e-002  1.141623e-001  1.891028e-003
 3.451694e-002  1.098114e-001  1.830566e-003
 3.521423e-002  1.078671e-001  1.820994e-003
 3.591153e-002  1.068357e-001  1.867320e-003
 3.660882e-002  1.033400e-001  1.881574e-003
 3.730611e-002  1.032156e-001  1.917629e-003
 3.800340e-002  1.011442e-001  1.870961e-003
 3.870069e-002  9.951420e-002  1.838925e-003
 3.939798e-002  9.579128e-002  1.791693e-003
 4.009526e-002  9.569509e-002  1.786008e-003
 4.079255e-002  9.504853e-002  1.761128e-003
 4.148984e-002  9.271943e-002  1.730763e-003
 4.218712e-002  9.044183e-002  1.695636e-003
 4.288440e-002  8.935524e-002  1.668773e-003
 4.358168e-002  8.806983e-002  1.624560e-003
 4.427896e-002  8.586817e-002  1.602533e-003
 4.497624e-002  8.301199e-002  1.549707e-003
 4.567351e-002  8.405948e-002  1.541640e-003
 4.637079e-002  8.131991e-002  1.538733e-003
 4.706806e-002  8.038624e-002  1.512456e-003
 4.776534e-002  7.950898e-002  1.493733e-003
 4.846261e-002  7.644703e-002  1.476997e-003
 4.915988e-002  7.478823e-002  1.457440e-003
 4.985715e-002  7.409365e-002  1.427454e-003
 5.055441e-002  7.228930e-002  1.442100e-003
 5.125168e-002  6.992420e-002  1.393952e-003
 5.194894e-002  6.928535e-002  1.396848e-003
 5.264621e-002  6.691045e-002  1.367746e-003
 5.334347e-002  6.579377e-002  1.372964e-003
 5.404072e-002  6.517984e-002  1.330303e-003
 5.473798e-002  6.326956e-002  1.322230e-003
 5.543524e-002  6.218695e-002  1.330962e-003
 5.613249e-002  6.002933e-002  1.314331e-003
 5.682975e-002  5.862718e-002  1.286540e-003
 5.752700e-002  5.756351e-002  1.284908e-003
 5.822425e-002  5.673797e-002  1.261316e-003
 5.892149e-002  5.611865e-002  1.267111e-003
 5.961874e-002  5.338015e-002  1.256038e-003
 6.031598e-002  5.219348e-002  1.229603e-003
 6.101322e-002  5.200941e-002  1.228088e-003
 6.171046e-002  5.170136e-002  1.244543e-003
 6.240770e-002  5.022336e-002  1.254008e-003
 6.310494e-002  4.884831e-002  1.241792e-003
 6.380218e-002  4.652377e-002  1.254100e-003
 6.449941e-002  4.658984e-002  1.205724e-003
 6.519664e-002  4.501541e-002  1.207725e-003
 6.589387e-002  4.494410e-002  1.170947e-003
