Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  8.418895e-03   3.290160e+01   3.104840e-01
  8.888228e-03   3.261170e+01   3.097070e-01
  9.357561e-03   3.203950e+01   2.839150e-01
  9.826893e-03   3.237990e+01   2.594960e-01
  1.029623e-02   3.215740e+01   2.292040e-01
  1.076556e-02   3.171630e+01   2.392000e-01
  1.123489e-02   3.203130e+01   2.261060e-01
  1.170422e-02   3.166830e+01   2.046190e-01
  1.217356e-02   3.142950e+01   1.913260e-01
  1.264289e-02   3.133920e+01   1.924970e-01
  1.311222e-02   3.081090e+01   1.840620e-01
  1.358155e-02   3.054060e+01   1.819000e-01
  1.405089e-02   3.026160e+01   1.683800e-01
  1.452022e-02   2.991650e+01   1.731490e-01
  1.498955e-02   2.993380e+01   1.606620e-01
  1.545888e-02   3.003540e+01   1.612690e-01
  1.592822e-02   2.962390e+01   1.531610e-01
  1.639755e-02   2.911970e+01   1.436180e-01
  1.686688e-02   2.895740e+01   1.464180e-01
  1.733622e-02   2.869270e+01   1.451290e-01
  1.780555e-02   2.814140e+01   1.383090e-01
  1.827488e-02   2.785550e+01   1.347160e-01
  1.874421e-02   2.777850e+01   1.328670e-01
  1.921355e-02   2.749790e+01   1.333550e-01
  1.968288e-02   2.730410e+01   1.318540e-01
  2.015221e-02   2.667380e+01   1.257110e-01
  2.062154e-02   2.695680e+01   1.198230e-01
  2.109088e-02   2.622040e+01   1.222290e-01
  2.156021e-02   2.589860e+01   1.226700e-01
  2.202954e-02   2.591030e+01   1.171860e-01
  2.249887e-02   2.510210e+01   1.138700e-01
  2.296821e-02   2.490170e+01   1.145880e-01
  2.343754e-02   2.458000e+01   1.150360e-01
  2.390687e-02   2.443920e+01   1.113420e-01
  2.437621e-02   2.398630e+01   1.085530e-01
  2.484554e-02   2.367290e+01   1.087710e-01
  2.531487e-02   2.349190e+01   1.083540e-01
  2.578420e-02   2.300960e+01   1.044820e-01
  2.625354e-02   2.292820e+01   1.005540e-01
  2.672287e-02   2.248600e+01   1.045230e-01
  2.719220e-02   2.227570e+01   1.034950e-01
  2.766153e-02   2.186370e+01   1.002240e-01
  2.813087e-02   2.182470e+01   9.714650e-02
  2.860020e-02   2.107670e+01   9.507280e-02
  2.906953e-02   2.095150e+01   9.888100e-02
  2.953886e-02   2.031290e+01   9.704420e-02
  3.000820e-02   2.036700e+01   9.195830e-02
  3.047753e-02   2.004330e+01   9.273090e-02
  3.094686e-02   1.952750e+01   9.152300e-02
  3.141619e-02   1.944340e+01   9.415230e-02
  3.188553e-02   1.903040e+01   8.732530e-02
  3.235486e-02   1.864280e+01   8.846750e-02
  3.282419e-02   1.828640e+01   8.926190e-02
  3.329353e-02   1.808220e+01   8.952060e-02
  3.376286e-02   1.776970e+01   8.424920e-02
  3.423219e-02   1.785880e+01   8.518490e-02
  3.470152e-02   1.747190e+01   8.554210e-02
  3.517086e-02   1.714530e+01   9.020070e-02
  3.564019e-02   1.700290e+01   8.826200e-02
  3.610952e-02   1.651670e+01   8.742510e-02
  3.657885e-02   1.602340e+01   9.602310e-02
  3.704819e-02   1.570910e+01   9.188280e-02
  3.751752e-02   1.544610e+01   9.457240e-02
  3.798685e-02   1.531990e+01   8.920410e-02
  3.845618e-02   1.527240e+01   9.349980e-02
  3.892552e-02   1.480520e+01   9.240260e-02
  3.939485e-02   1.472490e+01   9.427920e-02
  3.986418e-02   1.429580e+01   9.485040e-02
  4.033351e-02   1.412780e+01   9.871290e-02
  4.080285e-02   1.376820e+01   1.017480e-01
  4.127218e-02   1.365020e+01   1.027530e-01
  4.174151e-02   1.340990e+01   1.025880e-01
  4.221085e-02   1.307950e+01   1.045320e-01
  4.268018e-02   1.271110e+01   1.105330e-01
  4.314951e-02   1.272640e+01   1.103170e-01
  4.361884e-02   1.253760e+01   1.096690e-01
  4.408818e-02   1.227550e+01   1.107640e-01
  4.455751e-02   1.228390e+01   1.143180e-01
  4.502684e-02   1.172820e+01   1.124190e-01
  4.549617e-02   1.181390e+01   1.156760e-01
  4.596551e-02   1.158210e+01   1.113410e-01
  4.643484e-02   1.148050e+01   1.099500e-01
  4.690417e-02   1.120960e+01   1.071210e-01
  4.737350e-02   1.099080e+01   1.039590e-01
  4.784284e-02   1.090120e+01   1.041560e-01
  4.831217e-02   1.028970e+01   1.032240e-01
  4.878150e-02   1.038660e+01   1.014400e-01
  4.925083e-02   1.025640e+01   1.033080e-01
  4.972017e-02   1.006300e+01   1.013370e-01
  5.018950e-02   1.001960e+01   9.741740e-02
  5.065883e-02   9.670330e+00   9.805490e-02
  5.112817e-02   9.577490e+00   1.032820e-01
  5.159750e-02   9.048560e+00   9.916770e-02
  5.206683e-02   9.138930e+00   9.388700e-02
  5.253616e-02   9.215020e+00   9.806610e-02
  5.300550e-02   8.952850e+00   9.799280e-02
  5.347483e-02   8.784880e+00   9.605790e-02
  5.394416e-02   8.647840e+00   9.334430e-02
  5.441349e-02   8.459960e+00   9.362370e-02
  5.488283e-02   8.433520e+00   9.654860e-02
  5.535216e-02   8.156890e+00   9.386390e-02
  5.582149e-02   8.002270e+00   8.909920e-02
  5.629082e-02   7.970310e+00   9.039700e-02
  5.676016e-02   8.006800e+00   9.099960e-02
  5.722949e-02   7.586170e+00   9.207870e-02
  5.769882e-02   7.756780e+00   8.870510e-02
  5.816816e-02   7.494770e+00   8.764000e-02
  5.863749e-02   7.321410e+00   8.774910e-02
  5.910682e-02   7.312960e+00   9.202620e-02
  5.957615e-02   7.104610e+00   8.674490e-02
  6.004549e-02   7.232430e+00   8.592680e-02
  6.051482e-02   6.980380e+00   8.692230e-02
  6.098415e-02   6.796070e+00   8.816630e-02
  6.145348e-02   6.720570e+00   8.494920e-02
  6.192282e-02   6.664240e+00   8.638790e-02
  6.239215e-02   6.391980e+00   8.554250e-02
  6.286148e-02   6.388990e+00   8.570400e-02
  6.333081e-02   6.607310e+00   8.689080e-02
  6.380015e-02   6.369830e+00   8.248470e-02
  6.426948e-02   6.243990e+00   8.601440e-02
  6.473881e-02   5.910800e+00   8.477090e-02
  6.520814e-02   6.128990e+00   8.642790e-02
  6.567748e-02   5.785940e+00   8.255780e-02
  6.614681e-02   5.830070e+00   8.195640e-02
  6.661614e-02   5.812210e+00   8.311560e-02
  6.708548e-02   5.538280e+00   8.436480e-02
  6.755481e-02   5.700630e+00   8.326260e-02
  6.802414e-02   5.526360e+00   8.181420e-02
  6.849347e-02   5.474550e+00   8.266290e-02
  6.896281e-02   5.383020e+00   8.487680e-02
  6.943214e-02   5.395970e+00   8.235100e-02
  6.990147e-02   5.437910e+00   8.125750e-02
  7.037080e-02   5.244710e+00   8.133060e-02
  7.084014e-02   5.166890e+00   8.156940e-02
  7.130947e-02   4.991800e+00   8.188460e-02
  7.177880e-02   5.043960e+00   7.911780e-02
  7.224813e-02   4.889760e+00   7.965910e-02
  7.271747e-02   5.013070e+00   8.090780e-02
  7.318680e-02   4.675920e+00   8.101600e-02
  7.365613e-02   4.546000e+00   8.001440e-02
  7.412546e-02   4.596020e+00   7.885580e-02
  7.459480e-02   4.613530e+00   7.975800e-02
  7.506413e-02   4.263690e+00   7.875630e-02
  7.553346e-02   4.639870e+00   7.989420e-02
  7.600280e-02   4.485410e+00   7.756450e-02
  7.647213e-02   4.549800e+00   7.790650e-02
  7.694146e-02   4.091780e+00   7.913360e-02
  7.741079e-02   4.071510e+00   7.833540e-02
  7.788013e-02   4.107880e+00   7.695830e-02
  7.834946e-02   4.179470e+00   7.697590e-02
  7.881879e-02   4.186900e+00   7.890860e-02
  7.928812e-02   3.944660e+00   7.723820e-02
  7.975746e-02   4.027110e+00   7.567380e-02
