Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  1.170422e-02   3.629450e+01   1.324040e-01
  1.217356e-02   3.618240e+01   1.242690e-01
  1.264289e-02   3.603900e+01   1.249080e-01
  1.311222e-02   3.570010e+01   1.188090e-01
  1.358155e-02   3.555390e+01   1.167060e-01
  1.405089e-02   3.522790e+01   1.096320e-01
  1.452022e-02   3.480300e+01   1.088660e-01
  1.498955e-02   3.466270e+01   1.045210e-01
  1.545888e-02   3.434780e+01   1.029860e-01
  1.592822e-02   3.427370e+01   9.931730e-02
  1.639755e-02   3.389920e+01   9.409160e-02
  1.686688e-02   3.352120e+01   9.520540e-02
  1.733622e-02   3.328570e+01   9.425720e-02
  1.780555e-02   3.293490e+01   8.933740e-02
  1.827488e-02   3.267390e+01   8.697300e-02
  1.874421e-02   3.257050e+01   8.655960e-02
  1.921355e-02   3.200550e+01   8.667890e-02
  1.968288e-02   3.168590e+01   8.524620e-02
  2.015221e-02   3.138930e+01   8.319710e-02
  2.062154e-02   3.118730e+01   7.828720e-02
  2.109088e-02   3.082210e+01   7.969180e-02
  2.156021e-02   3.036210e+01   7.995050e-02
  2.202954e-02   3.021670e+01   7.624810e-02
  2.249887e-02   2.972410e+01   7.443120e-02
  2.296821e-02   2.950120e+01   7.473200e-02
  2.343754e-02   2.920770e+01   7.504720e-02
  2.390687e-02   2.881080e+01   7.245620e-02
  2.437621e-02   2.836110e+01   7.385950e-02
  2.484554e-02   2.816330e+01   7.146200e-02
  2.531487e-02   2.786230e+01   7.060670e-02
  2.578420e-02   2.757190e+01   6.815660e-02
  2.625354e-02   2.707920e+01   6.708110e-02
  2.672287e-02   2.684180e+01   6.709170e-02
  2.719220e-02   2.638910e+01   6.673100e-02
  2.766153e-02   2.606500e+01   6.522430e-02
  2.813087e-02   2.572830e+01   6.303280e-02
  2.860020e-02   2.525730e+01   6.238700e-02
  2.906953e-02   2.510450e+01   6.524650e-02
  2.953886e-02   2.472370e+01   6.318090e-02
  3.000820e-02   2.440740e+01   5.975780e-02
  3.047753e-02   2.400000e+01   6.092870e-02
  3.094686e-02   2.363870e+01   5.990120e-02
  3.141619e-02   2.342770e+01   6.122280e-02
  3.188553e-02   2.300910e+01   5.669340e-02
  3.235486e-02   2.272660e+01   5.747670e-02
  3.282419e-02   2.246790e+01   5.762820e-02
  3.329353e-02   2.193330e+01   5.810620e-02
  3.376286e-02   2.178910e+01   5.468500e-02
  3.423219e-02   2.140870e+01   5.508220e-02
  3.470152e-02   2.114840e+01   5.541450e-02
  3.517086e-02   2.092680e+01   5.813540e-02
  3.564019e-02   2.055180e+01   5.712760e-02
  3.610952e-02   2.012720e+01   5.656520e-02
  3.657885e-02   1.974880e+01   5.906400e-02
  3.704819e-02   1.947170e+01   5.972110e-02
  3.751752e-02   1.908910e+01   6.079000e-02
  3.798685e-02   1.872770e+01   5.759810e-02
  3.845618e-02   1.856220e+01   6.035170e-02
  3.892552e-02   1.809910e+01   6.044680e-02
  3.939485e-02   1.796150e+01   6.079980e-02
  3.986418e-02   1.765200e+01   6.112160e-02
  4.033351e-02   1.742600e+01   6.357060e-02
  4.080285e-02   1.708750e+01   6.490820e-02
  4.127218e-02   1.675170e+01   6.573390e-02
  4.174151e-02   1.644790e+01   6.594780e-02
  4.221085e-02   1.623450e+01   6.719570e-02
  4.268018e-02   1.580440e+01   7.020070e-02
  4.314951e-02   1.561210e+01   7.034430e-02
  4.361884e-02   1.520590e+01   7.044730e-02
  4.408818e-02   1.511900e+01   7.104470e-02
  4.455751e-02   1.470220e+01   7.268260e-02
  4.502684e-02   1.451490e+01   7.278060e-02
  4.549617e-02   1.420850e+01   7.404020e-02
  4.596551e-02   1.405130e+01   7.137160e-02
  4.643484e-02   1.402100e+01   7.021700e-02
  4.690417e-02   1.364950e+01   7.088650e-02
  4.737350e-02   1.336630e+01   6.619340e-02
  4.784284e-02   1.305620e+01   6.631420e-02
  4.831217e-02   1.283790e+01   6.585660e-02
  4.878150e-02   1.257970e+01   6.448600e-02
  4.925083e-02   1.234470e+01   6.522230e-02
  4.972017e-02   1.211940e+01   6.444330e-02
  5.018950e-02   1.201910e+01   6.183090e-02
  5.065883e-02   1.178650e+01   6.233100e-02
  5.112817e-02   1.156020e+01   6.749990e-02
  5.159750e-02   1.137260e+01   6.308440e-02
  5.206683e-02   1.122140e+01   5.994140e-02
  5.253616e-02   1.091560e+01   6.133950e-02
  5.300550e-02   1.064590e+01   6.311430e-02
  5.347483e-02   1.042900e+01   6.086620e-02
  5.394416e-02   1.045430e+01   5.867690e-02
  5.441349e-02   1.027470e+01   5.921770e-02
  5.488283e-02   1.006090e+01   6.015300e-02
  5.535216e-02   9.862310e+00   5.917370e-02
  5.582149e-02   9.751960e+00   5.657990e-02
  5.629082e-02   9.594100e+00   5.695720e-02
  5.676016e-02   9.301800e+00   5.717200e-02
  5.722949e-02   9.192480e+00   5.745900e-02
  5.769882e-02   9.039690e+00   5.620980e-02
  5.816816e-02   8.941930e+00   5.513940e-02
  5.863749e-02   8.788340e+00   5.534340e-02
  5.910682e-02   8.650600e+00   5.808820e-02
  5.957615e-02   8.521670e+00   5.471230e-02
  6.004549e-02   8.317690e+00   5.387550e-02
  6.051482e-02   8.238790e+00   5.461340e-02
  6.098415e-02   8.061300e+00   5.524770e-02
  6.145348e-02   7.924790e+00   5.345220e-02
  6.192282e-02   7.758960e+00   5.308280e-02
  6.239215e-02   7.718980e+00   5.418730e-02
  6.286148e-02   7.619810e+00   5.378390e-02
  6.333081e-02   7.417210e+00   5.429740e-02
  6.380015e-02   7.350930e+00   5.175990e-02
  6.426948e-02   7.271620e+00   5.359800e-02
  6.473881e-02   7.231090e+00   5.336020e-02
  6.520814e-02   7.112470e+00   5.415610e-02
  6.567748e-02   6.837390e+00   5.157420e-02
