Sample description: REMARK 265
Sample: REMARK 265  c= 0 mg/ml  Code: 
  9.826893e-03   1.672110e+01   2.116270e-01
  1.029623e-02   1.680390e+01   1.866360e-01
  1.076556e-02   1.647950e+01   1.922820e-01
  1.123489e-02   1.651520e+01   1.793230e-01
  1.170422e-02   1.646370e+01   1.638880e-01
  1.217356e-02   1.633420e+01   1.526480e-01
  1.264289e-02   1.603780e+01   1.531420e-01
  1.311222e-02   1.607650e+01   1.468800e-01
  1.358155e-02   1.588470e+01   1.426640e-01
  1.405089e-02   1.554150e+01   1.328600e-01
  1.452022e-02   1.568700e+01   1.321420e-01
  1.498955e-02   1.549440e+01   1.280990e-01
  1.545888e-02   1.545540e+01   1.248240e-01
  1.592822e-02   1.527000e+01   1.213940e-01
  1.639755e-02   1.492470e+01   1.125690e-01
  1.686688e-02   1.526240e+01   1.150150e-01
  1.733622e-02   1.485330e+01   1.134090e-01
  1.780555e-02   1.456530e+01   1.074860e-01
  1.827488e-02   1.429110e+01   1.044190e-01
  1.874421e-02   1.445510e+01   1.039110e-01
  1.921355e-02   1.446590e+01   1.043110e-01
  1.968288e-02   1.381770e+01   1.021100e-01
  2.015221e-02   1.414180e+01   9.859610e-02
  2.062154e-02   1.362390e+01   9.465290e-02
  2.109088e-02   1.370660e+01   9.671210e-02
  2.156021e-02   1.365300e+01   9.607990e-02
  2.202954e-02   1.342950e+01   9.160340e-02
  2.249887e-02   1.305420e+01   8.969610e-02
  2.296821e-02   1.308670e+01   9.202430e-02
  2.343754e-02   1.291810e+01   9.021330e-02
  2.390687e-02   1.280490e+01   8.732360e-02
  2.437621e-02   1.267700e+01   8.616360e-02
  2.484554e-02   1.255360e+01   8.562890e-02
  2.531487e-02   1.232010e+01   8.619600e-02
  2.578420e-02   1.215760e+01   8.219830e-02
  2.625354e-02   1.205260e+01   7.909640e-02
  2.672287e-02   1.173480e+01   8.101280e-02
  2.719220e-02   1.165960e+01   8.174920e-02
  2.766153e-02   1.149870e+01   7.902610e-02
  2.813087e-02   1.145830e+01   7.653340e-02
  2.860020e-02   1.128580e+01   7.612580e-02
  2.906953e-02   1.109740e+01   7.815240e-02
  2.953886e-02   1.076700e+01   7.675010e-02
  3.000820e-02   1.073110e+01   7.274870e-02
  3.047753e-02   1.037340e+01   7.368000e-02
  3.094686e-02   1.032140e+01   7.260680e-02
  3.141619e-02   1.040740e+01   7.577340e-02
  3.188553e-02   1.019250e+01   6.937290e-02
  3.235486e-02   1.007750e+01   7.043900e-02
  3.282419e-02   1.001370e+01   7.030040e-02
  3.329353e-02   9.762240e+00   7.298090e-02
  3.376286e-02   9.530580e+00   6.716340e-02
  3.423219e-02   9.349820e+00   6.774910e-02
  3.470152e-02   9.198040e+00   6.819980e-02
  3.517086e-02   9.185810e+00   7.265030e-02
  3.564019e-02   9.027370e+00   7.059270e-02
  3.610952e-02   8.966740e+00   7.008890e-02
  3.657885e-02   8.687240e+00   7.337250e-02
  3.704819e-02   8.514950e+00   7.452060e-02
  3.751752e-02   8.566000e+00   7.562810e-02
  3.798685e-02   8.263380e+00   7.167570e-02
  3.845618e-02   8.053830e+00   7.508440e-02
  3.892552e-02   7.824820e+00   7.425210e-02
  3.939485e-02   7.914740e+00   7.597030e-02
  3.986418e-02   7.774270e+00   7.649300e-02
  4.033351e-02   7.625320e+00   7.961560e-02
  4.080285e-02   7.484620e+00   8.105500e-02
  4.127218e-02   7.312610e+00   8.184050e-02
  4.174151e-02   7.212720e+00   8.295180e-02
  4.221085e-02   7.148400e+00   8.463860e-02
  4.268018e-02   6.935810e+00   8.798680e-02
  4.314951e-02   6.767410e+00   8.885230e-02
  4.361884e-02   6.722630e+00   8.890210e-02
  4.408818e-02   6.640710e+00   8.998340e-02
  4.455751e-02   6.593470e+00   9.223790e-02
  4.502684e-02   6.465820e+00   9.142250e-02
