# Diamond Light Source Ltd.
# Non Crystalline Diffraction Results Export File
# Data extracted from file: /dls/b21/data/2014/sm9384-1/processing/results_b21-7734_detector_070314_132234.nxs
# Dataset name: /entry1/detector_processing/Average/data
# Title: Sample: HSP18.1 (Location   I A  2)
# Scan command: static readout
# q(1/A)      	Column      	Error       	
0.0096506812	4.0331636e-09	7.5401109e-12
0.0099254800	4.1676271e-09	7.5016529e-12
0.010200279 	4.2006367e-09	7.4034641e-12
0.010475079 	4.2408717e-09	7.2767868e-12
0.010749877 	4.2458530e-09	7.1593066e-12
0.011024676 	4.2434944e-09	7.0497289e-12
0.011299475 	4.2351336e-09	6.9342249e-12
0.011574275 	4.2110746e-09	6.8138589e-12
0.011849074 	4.2043751e-09	6.7219945e-12
0.012123873 	4.2091273e-09	6.6271329e-12
0.012398671 	4.1856514e-09	6.4982715e-12
0.012673471 	4.1587431e-09	6.4132822e-12
0.012948270 	4.1389447e-09	6.3393761e-12
0.013223069 	4.1310164e-09	6.2582712e-12
0.013497868 	4.1104453e-09	6.1674381e-12
0.013772667 	4.0915178e-09	6.0939773e-12
0.014047466 	4.0698223e-09	6.0074268e-12
0.014322265 	4.0535810e-09	5.9382816e-12
0.014597064 	4.0294865e-09	5.8686962e-12
0.014871864 	4.0064072e-09	5.7773799e-12
0.015146662 	3.9875663e-09	5.7033028e-12
0.015421461 	3.9796695e-09	5.6491335e-12
0.015696261 	3.9695993e-09	5.5927320e-12
0.015971059 	3.9438981e-09	5.5261598e-12
0.016245859 	3.9309538e-09	5.4649709e-12
0.016520657 	3.9060746e-09	5.4169408e-12
0.016795456 	3.8907344e-09	5.3556135e-12
0.017070256 	3.8734913e-09	5.2864427e-12
0.017345054 	3.8448875e-09	5.2359363e-12
0.017619854 	3.8298991e-09	5.1703151e-12
0.017894654 	3.8036068e-09	5.1141435e-12
0.018169452 	3.7807495e-09	5.0654932e-12
0.018444251 	3.7623300e-09	5.0180927e-12
0.018719049 	3.7521404e-09	4.9751618e-12
0.018993849 	3.7255203e-09	4.8966495e-12
0.019268649 	3.6968311e-09	4.8624980e-12
0.019543447 	3.6812682e-09	4.8133220e-12
0.019818246 	3.6649479e-09	4.7755749e-12
0.020093046 	3.6316263e-09	4.7165887e-12
0.020367844 	3.6107057e-09	4.6704880e-12
0.020642644 	3.5901908e-09	4.6355962e-12
0.020917442 	3.5663215e-09	4.5799258e-12
0.021192241 	3.5481349e-09	4.5464982e-12
0.021467041 	3.5256549e-09	4.5033820e-12
0.021741839 	3.5012306e-09	4.4497448e-12
0.022016639 	3.4800955e-09	4.4244582e-12
0.022291437 	3.4590562e-09	4.3800731e-12
0.022566237 	3.4405576e-09	4.3442723e-12
0.022841036 	3.4162999e-09	4.3108243e-12
0.023115834 	3.3946088e-09	4.2664301e-12
0.023390634 	3.3670833e-09	4.2160732e-12
0.023665434 	3.3457384e-09	4.1756351e-12
0.023940232 	3.3255405e-09	4.1443919e-12
0.024215031 	3.3032228e-09	4.1078842e-12
0.024489829 	3.2670193e-09	4.0574896e-12
0.024764629 	3.2489791e-09	4.0328973e-12
0.025039429 	3.2220639e-09	3.9946818e-12
0.025314227 	3.1978251e-09	3.9574897e-12
0.025589027 	3.1788359e-09	3.9197920e-12
0.025863826 	3.1541449e-09	3.8877642e-12
0.026138624 	3.1244174e-09	3.8484329e-12
0.026413424 	3.0994511e-09	3.8103049e-12
0.026688222 	3.0820129e-09	3.7848977e-12
0.026963022 	3.0509111e-09	3.7460317e-12
0.027237821 	3.0263123e-09	3.7125008e-12
0.027512619 	3.0016165e-09	3.6773024e-12
0.027787419 	2.9794320e-09	3.6454060e-12
0.028062219 	2.9525278e-09	3.6140865e-12
