#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   5.38407e+06      72609.2
        0.01   5.29343e+06      71123.9
        0.02   5.03121e+06      66998.8
        0.03   4.62529e+06        61077
        0.04   4.11696e+06        54380
        0.05   3.55451e+06      47823.6
        0.06   2.98594e+06      41762.6
        0.07    2.4525e+06      36686.3
        0.08   1.98385e+06      32766.1
        0.09    1.5959e+06      29657.4
         0.1   1.29117e+06      26722.8
        0.11   1.06139e+06      23757.6
        0.12        891393      20563.3
        0.13        763538      17691.2
        0.14        661465      15307.7
        0.15        572743      13243.5
        0.16        490020      11415.5
        0.17        410794      9762.15
        0.18        336164      8297.51
        0.19        269102      7160.61
         0.2        212757      6399.37
        0.21        169194      6051.48
        0.22        138770      6162.05
        0.23        120133       6883.7
        0.24        110707      7676.81
        0.25        107392      7800.57
        0.26        107260      7178.98
        0.27        108061      6119.39
        0.28        108441      5087.35
        0.29        107909      4319.26
         0.3        106608      3777.11
        0.31        105008       3447.4
        0.32        103616      3141.15
        0.33        102777      2826.43
        0.34        102584      2527.28
        0.35        102877      2277.65
        0.36        103326       2085.7
        0.37        103527      1934.85
        0.38        103098      1803.06
        0.39        101750      1676.11
         0.4       99326.9      1550.39
        0.41       95816.9      1429.49
        0.42         91337      1318.45
        0.43       86106.6      1219.33
        0.44       80410.3       1146.3
        0.45       74559.9      1108.29
        0.46       68857.2      1070.22
        0.47       63565.1      1026.58
        0.48       58887.4      976.686
        0.49       54960.7      923.732
         0.5       51855.2      872.544
        0.51       49582.9      827.082
        0.52       48107.8      789.114
        0.53       47354.2      759.501
        0.54       47212.1      741.156
        0.55       47539.2      739.884
        0.56       48163.1      760.616
        0.57       48888.3      802.004
        0.58       49508.8      854.746
        0.59       49814.3      940.438
         0.6       49700.9      941.978
        0.61       48845.4      953.356
        0.62       47750.4      935.042
        0.63       45875.3       808.21
        0.64       43768.2      766.943
        0.65       41504.3      712.783
        0.66       39503.6      664.054
        0.67       37798.7      648.319
        0.68       36437.4      634.888
        0.69       35716.2      618.036
         0.7       35321.1      581.966
        0.71       35280.2      661.868
        0.72       35225.7      683.955
        0.73       35258.8      709.551
        0.74       34959.3      860.422
        0.75       34233.5      891.637
        0.76       33172.5      873.394
        0.77       31590.3      842.945
        0.78       29718.1      795.747
        0.79       27880.5      691.484
         0.8       25892.4      559.021
        0.81       24079.8      512.193
        0.82       22679.1       483.15
        0.83       21437.4      473.566
        0.84       20580.9      465.359
        0.85       19758.8      432.995
        0.86       19023.6      428.502
        0.87       18335.6      392.449
        0.88       17600.7       409.88
        0.89       16968.4      389.459
         0.9       16119.5      389.382
        0.91       15265.5      395.918
        0.92       14432.3      386.859
        0.93       13715.9      379.527
        0.94       13065.6      374.583
        0.95       12460.8      378.275
        0.96       11862.7      376.875
        0.97       11489.4      357.147
        0.98       11003.7      351.349
        0.99       10542.2      357.823
           1       10052.6       352.14
