# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.00000000 60881160.00000000 13698.26074219
0.00100000 60866148.00000000 18259.84570312
0.00200000 60821812.00000000 27369.81640625
0.00300000 60747860.00000000 43738.46093750
0.00400000 60644260.00000000 50031.51562500
0.00500000 60511652.00000000 70798.64062500
0.00600000 60349868.00000000 120397.98437500
0.00700000 60158988.00000000 72190.78906250
0.00800000 59939504.00000000 137561.17187500
0.00900000 59691876.00000000 125352.94531250
0.01000000 59416148.00000000 117643.98437500
0.01100000 59112652.00000000 127683.33593750
0.01200000 58782028.00000000 229249.90625000
0.01300000 58424604.00000000 122691.67187500
0.01400000 58040888.00000000 169769.60937500
0.01500000 57631324.00000000 179809.73437500
0.01600000 57196868.00000000 145852.01562500
0.01700000 56737568.00000000 183829.73437500
0.01800000 56254336.00000000 192389.84375000
0.01900000 55747900.00000000 167243.70312500
0.02000000 55218552.00000000 260907.67187500
0.02100000 54667204.00000000 270602.68750000
0.02200000 54094316.00000000 186625.40625000
0.02300000 53501312.00000000 250386.15625000
0.02400000 52888452.00000000 198331.70312500
0.02500000 52256592.00000000 244560.85937500
0.02600000 51606084.00000000 271706.03125000
0.02700000 50938640.00000000 235336.51562500
0.02800000 50254716.00000000 218608.01562500
0.02900000 49554940.00000000 267596.68750000
0.03000000 48840980.00000000 227110.56250000
0.03100000 48112592.00000000 300222.59375000
0.03200000 47371880.00000000 304838.06250000
0.03300000 46618256.00000000 237753.10937500
0.03400000 45853544.00000000 288877.34375000
0.03500000 45078952.00000000 243426.34375000
0.03600000 44294468.00000000 270417.75000000
0.03700000 43501640.00000000 322347.15625000
0.03800000 42700884.00000000 299760.21875000
0.03900000 41893616.00000000 301634.03125000
0.04000000 41080552.00000000 277909.96875000
0.04100000 40262776.00000000 279021.03125000
0.04200000 39440992.00000000 356152.18750000
0.04300000 38615940.00000000 305838.25000000
0.04400000 37788628.00000000 280580.59375000
0.04500000 36960008.00000000 280526.46875000
